Name,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Winner
Kyle,Houston Texans,Miami Dolphins,Denver Broncos,New York Giants,Philadelphia Eagles,San Francisco 49ers,,,,,,,
Ken,Jacksonville Jaguars,,,,,,,,,,,,
Karyl,Houston Texans,Los Angeles Chargers,Dallas Cowboys,Miami Dolphins,Minnesota Vikings,Detroit Lions,,,,,,,
Elise,New York Jets,Detroit Lions,Denver Broncos,New York Giants,Minnesota Vikings,Houston Texans,Jacksonville Jaguars,Chicago Bears,Dallas Cowboys,San Francisco 49ers,Green Bay Packers,Philadelphia Eagles,X
Kevin,New York Jets,Los Angeles Chargers,New York Giants,Miami Dolphins,Las Vegas Raiders,,,,,,,,
Deb,Houston Texans,New York Giants,Denver Broncos,Miami Dolphins,Minnesota Vikings,Philadelphia Eagles,New York Jets,Cincinnati Bengals,,,,,
Eli,Cleveland Browns,Los Angeles Chargers,New York Jets,New York Giants,Washington Football Team,Houston Texans,Denver Broncos,Dallas Cowboys,Carolina Panthers,New England Patriots,,,
Sean,Washington Football Team,,,,,,,,,,,,
Brandon,Washington Football Team,,,,,,,,,,,,
Alyssa,Houston Texans,Detroit Lions,New York Jets,Washington Football Team,Cincinnati Bengals,San Francisco 49ers,,,,,,,
Gramps,Atlanta Falcons,Los Angeles Chargers,New York Jets,Miami Dolphins,Minnesota Vikings,Denver Broncos,,,,,,,
Harry,Houston Texans,Los Angeles Chargers,New York Jets,New York Giants,Cincinnati Bengals,Philadelphia Eagles,Jacksonville Jaguars,Minnesota Vikings,,,,,
Trevor,Houston Texans,Los Angeles Chargers,Dallas Cowboys,Miami Dolphins,Minnesota Vikings,Philadelphia Eagles,Denver Broncos,New York Jets,Carolina Panthers,Jacksonville Jaguars,Las Vegas Raiders,Atlanta Falcons,
Brittney,Miami Dolphins,Houston Texans,Detroit Lions,,,,,,,,,,
Paul,Houston Texans,Los Angeles Chargers,Denver Broncos,Washington Football Team,Chicago Bears,,,,,,,,
Jen,Houston Texans,Las Vegas Raiders,,,,,,,,,,,
Luke,Washington Football Team,,,,,,,,,,,,
Charlene,Houston Texans,Miami Dolphins,New York Jets,Washington Football Team,Cincinnati Bengals,Philadelphia Eagles,Carolina Panthers,Denver Broncos,,,,,
Cheryl,Arizona Cardinals,,,,,,,,,,,,
Joe,Miami Dolphins,Cleveland Browns,,,,,,,,,,,
Dylan,New York Jets,Los Angeles Chargers,Denver Broncos,Miami Dolphins,New York Giants,Houston Texans,San Francisco 49ers,,,,,,
Allison,Arizona Cardinals,,,,,,,,,,,,
George,New York Jets,Miami Dolphins,Detroit Lions,,,,,,,,,,
Gary,Jacksonville Jaguars,,,,,,,,,,,,
Chrissy,New York Jets,Carolina Panthers,Denver Broncos,Washington Football Team,Miami Dolphins,,,,,,,,
